TIME,GPU_ID,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB, GPUMEM_TOTAL_MB,CXL_PMEM_USED_MB,PERFORMANCE_STATE,GPU_TEMPERATURE_C
2023-07-14 08:14:58,0,3.1,55.6,0,0,99.55607701091834,0.0,0.0,NVIDIA A10,4Gen-16xlanes,530.375, 23028.0,8.0,P0,57
2023-07-14 08:14:59,0,2.4,55.9,1,0,99.55607701091834,0.0,388.671875,NVIDIA A10,4Gen-16xlanes,828.5, 23028.0,8.0,P0,59
2023-07-14 08:15:00,0,2.6,57.2,0,0,99.55607701091834,0.0,0.0,NVIDIA A10,4Gen-16xlanes,878.5, 23028.0,8.0,P0,59
2023-07-14 08:15:01,0,10.0,58.5,2,0,99.55560772531302,0.0,0.0,NVIDIA A10,4Gen-16xlanes,890.5, 23028.0,8.0,P0,60
2023-07-14 08:15:02,0,50.3,59.6,0,0,99.55448446750934,1.953125,16.6015625,NVIDIA A10,4Gen-16xlanes,898.5, 23028.0,8.0,P0,60
2023-07-14 08:15:03,0,50.3,60.7,1,0,99.55411206667416,5.859375,0.0,NVIDIA A10,4Gen-16xlanes,906.5, 23028.0,8.0,P0,60
2023-07-14 08:15:05,0,50.4,61.9,1,0,99.55411206667416,1.953125,32.2265625,NVIDIA A10,4Gen-16xlanes,916.5, 23028.0,8.0,P0,60
2023-07-14 08:15:06,0,50.3,63.0,0,0,99.55411206667416,0.0,0.0,NVIDIA A10,4Gen-16xlanes,924.5, 23028.0,8.0,P0,60
2023-07-14 08:15:07,0,50.3,64.1,1,0,99.55392132478298,0.0,0.0,NVIDIA A10,4Gen-16xlanes,932.5, 23028.0,8.0,P0,60
2023-07-14 08:15:08,0,50.2,65.3,1,0,99.55392132478298,0.9765625,0.0,NVIDIA A10,4Gen-16xlanes,940.5, 23028.0,8.0,P0,60
2023-07-14 08:15:09,0,50.4,66.4,1,0,99.55392132478298,0.0,0.0,NVIDIA A10,4Gen-16xlanes,948.5, 23028.0,8.0,P0,60
2023-07-14 08:15:10,0,50.6,67.5,1,0,99.55373058289177,0.0,0.0,NVIDIA A10,4Gen-16xlanes,958.5, 23028.0,8.0,P0,61
2023-07-14 08:15:11,0,50.2,68.7,1,0,99.55373058289177,0.0,0.0,NVIDIA A10,4Gen-16xlanes,966.5, 23028.0,8.0,P0,61
2023-07-14 08:15:13,0,50.3,69.8,1,0,99.55373058289177,0.0,0.0,NVIDIA A10,4Gen-16xlanes,974.5, 23028.0,8.0,P0,61
2023-07-14 08:15:14,0,50.5,71.0,1,0,99.55353984100059,0.0,0.0,NVIDIA A10,4Gen-16xlanes,982.5, 23028.0,8.0,P0,61
2023-07-14 08:15:15,0,50.3,72.1,1,0,99.5533490991094,0.0,66.40625,NVIDIA A10,4Gen-16xlanes,992.5, 23028.0,8.0,P0,61
2023-07-14 08:15:16,0,49.8,73.2,6,0,99.5533490991094,2490.234375,307.6171875,NVIDIA A10,4Gen-16xlanes,2964.5, 23028.0,8.0,P0,62
2023-07-14 08:15:17,0,2.3,73.6,99,78,99.5533490991094,848.6328125,18.5546875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,64
2023-07-14 08:15:18,0,1.9,73.6,100,79,99.5533490991094,1922.8515625,756.8359375,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,65
2023-07-14 08:15:19,0,1.9,73.6,99,78,99.5533490991094,849.609375,760.7421875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,66
2023-07-14 08:15:21,0,2.2,73.6,99,78,99.5533490991094,4.8828125,16736.328125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,66
2023-07-14 08:15:22,0,1.9,73.6,99,78,99.55296761532702,848.6328125,17.578125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,67
2023-07-14 08:15:23,0,1.9,73.6,100,84,99.55296761532702,647.4609375,757.8125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,68
2023-07-14 08:15:24,0,2.0,73.6,100,84,99.55296761532702,869.140625,761.71875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,68
2023-07-14 08:15:25,0,1.9,73.6,99,84,99.55277687343582,92.7734375,19904.296875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,68
2023-07-14 08:15:26,0,1.8,73.6,99,80,99.55277687343582,848.6328125,18.5546875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,69
2023-07-14 08:15:27,0,1.9,73.6,100,84,99.55277687343582,126.953125,758.7890625,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,70
2023-07-14 08:15:29,0,2.0,73.6,99,83,99.55277687343582,849.609375,760.7421875,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,70
2023-07-14 08:15:30,0,2.3,73.6,99,84,99.55277687343582,1967.7734375,9519.53125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,70
2023-07-14 08:15:31,0,2.0,73.6,99,81,99.55277687343582,848.6328125,17.578125,NVIDIA A10,4Gen-16xlanes,3942.5, 23028.0,8.0,P0,71
2023-07-14 08:15:32,0,1.9,73.6,99,84,99.55277687343582,849.609375,14345.703125,NVIDIA A10,4Gen-16xlanes,4164.5, 23028.0,8.0,P0,71
2023-07-14 08:15:33,0,29.1,73.9,49,36,99.55239538965344,5962.890625,15.625,NVIDIA A10,4Gen-16xlanes,7784.5, 23028.0,8.0,P0,71
2023-07-14 08:15:34,0,47.9,74.0,100,45,99.55239538965344,3.90625,11.71875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,72
2023-07-14 08:15:35,0,69.0,74.1,100,62,99.55239538965344,3.90625,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,72
2023-07-14 08:15:37,0,20.4,74.2,100,64,99.55201390587105,5.859375,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,72
2023-07-14 08:15:38,0,55.7,74.3,100,47,99.55201390587105,2.9296875,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,73
2023-07-14 08:15:39,0,62.3,74.4,100,63,99.55201390587105,1962.890625,13.671875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,73
2023-07-14 08:15:40,0,23.6,74.4,100,51,99.55182316397986,2.9296875,16.6015625,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,74
2023-07-14 08:15:41,0,55.9,74.5,100,44,99.55182316397986,2.9296875,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,74
2023-07-14 08:15:42,0,63.0,74.6,100,64,99.55163242208867,3.90625,12.6953125,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,74
2023-07-14 08:15:44,0,24.7,74.7,100,64,99.55163242208867,2.9296875,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,75
2023-07-14 08:15:45,0,55.6,74.7,100,46,99.55163242208867,2.9296875,10.7421875,NVIDIA A10,4Gen-16xlanes,7838.5, 23028.0,8.0,P0,74
