TIME,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB,GPUMEM_TOTAL_MB
2023-06-12 22:54:11,1.5,1.6,0,0,0.0016315352971615303,0.0,0.0,Tesla T4,1Gen-16xlanes,438.625,15360.0
2023-06-12 22:54:12,2.1,1.6,0,0,0.0016315352971615303,20.5078125,128.90625,Tesla T4,3Gen-16xlanes,557.4375,15360.0
2023-06-12 22:54:13,2.2,2.4,0,0,0.0016315352971615303,0.0,0.0,Tesla T4,3Gen-16xlanes,573.4375,15360.0
2023-06-12 22:54:14,2.0,3.5,2,0,0.0016315352971615303,9.765625,0.0,Tesla T4,3Gen-16xlanes,581.4375,15360.0
2023-06-12 22:54:14,23.8,4.2,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,587.4375,15360.0
2023-06-12 22:54:15,50.5,4.6,0,0,0.0016309294428763926,0.0,58.59375,Tesla T4,3Gen-16xlanes,589.4375,15360.0
2023-06-12 22:54:16,50.8,5.0,0,0,0.0016309294428763926,0.9765625,0.0,Tesla T4,3Gen-16xlanes,593.4375,15360.0
2023-06-12 22:54:17,50.6,5.4,0,0,0.0016309294428763926,0.0,16.6015625,Tesla T4,3Gen-16xlanes,595.4375,15360.0
2023-06-12 22:54:18,50.8,5.8,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,597.4375,15360.0
2023-06-12 22:54:19,50.7,6.2,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,601.4375,15360.0
2023-06-12 22:54:20,50.5,6.6,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,603.4375,15360.0
2023-06-12 22:54:21,50.5,6.9,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,607.4375,15360.0
2023-06-12 22:54:21,51.1,7.4,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,609.4375,15360.0
2023-06-12 22:54:22,50.7,7.8,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,613.4375,15360.0
